brand,stars,reviewsCount,Category,price/value
PowerA,4.6,1095.0,Video Games › Legacy Systems › Nintendo Systems › Nintendo 3DS › Accessories,1399.0
TECLUSIVE,3.7,88.0,Video Games › Prime Day Coupons | Video Games,799.0
Marshall,4.1,1693.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",19899.0
boAt,4.1,92974.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",499.0
Generic,5.0,4.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,34200.0
Sadhwanis,3.7,38.0,Toys & Games › Electronic Toys › Plug & Play Video Games,2699.0
Generic,2.7,7.0,Video Games › Video Games NCEMI,1079.0
Marshall,4.6,1006.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,17498.0
BoAt,4.2,16614.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,3499.0
pTron,3.5,59765.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",189.0
Skullcandy,4.0,7651.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",9999.0
Lenovo,3.4,189.0,Computers & Accessories › Laptops › Traditional Laptops,19999.0
Vu,4.5,1548.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",119999.0
Marshall,4.7,1311.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,9998.0
LEGO,4.7,356.0,Video Games › Legacy Systems › Nintendo Systems,43999.0
pTron,3.8,394.0,Electronics › Home Audio › Speakers › Soundbar Speakers,1098.0
Lenovo,3.4,64.0,Computers & Accessories › Laptops › Traditional Laptops,16329.0
amazon basics,5.0,1.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",399.0
pTron,3.8,68563.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",799.0
Avolusion,4.5,244.0,Computers & Accessories › External Devices & Data Storage › External Hard Disks,19306.0
iTronix,4.1,87.0,Electronics › Wearable Technology › Arm & Wristband Accessories › Cables,229.0
Excuty,3.7,14.0,Electronics › Cameras & Photography › Video Cameras,69999.0
